Type,Days_for_shipping_real,Days_for_shipment_scheduled,Benefit_per_order,Sales_per_customer,Delivery_Status,Late_delivery_risk,Category_Id,Category_Name,Customer_City,Customer_Country,Customer_Fname,Customer_Id,Customer_Lname,Customer_Password,Customer_Segment,Customer_State,Customer_Street,Customer_Zipcode,Department_Id,Department_Name,Latitude,Longitude,Market,Order_City,Order_Country,Order_Customer_Id,order_date_DateOrders,Order_Id,Order_Item_Cardprod_Id,Order_Item_Discount,Order_Item_Discount_Rate,Order_Item_Id,Order_Item_Product_Price,Order_Item_Profit_Ratio,Order_Item_Quantity,Sales,Order_Item_Total,Order_Profit_Per_Order,Order_Region,Order_State,Order_Status,Order_Zipcode,Product_Card_Id,Product_Category_Id,Product_Description,Product_Image,Product_Name,Product_Price,Product_Status,shipping_date_DateOrders,Shipping_Mode
TRANSFER,5,4,96,192,Late delivery,1,24,Women's Apparel,Silver Spring,EE. UU.,Mary,3825,Ward,XXXXXXXXX,Consumer,MD,1509 Quiet Log Arbor,20906,5,Golf,39.093036651611328,-77.073578,Pacific Asia,Estambul,Turquía,3825,2017-01-02 20:20:00.0000000,50204,502,8,3.9999999105930328E-2,125486,50,0.5,4,200,192,96,West Asia,Estambul,PENDING,,502,24,,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo,Nike Men's Dri-FIT Victory Golf Polo,50,0,2017-01-07 20:20:00.0000000,Standard Class
TRANSFER,3,4,27.409999847412109,94.5,Advance shipping,0,7,Hockey,Troy,EE. UU.,Mary,6662,Rocha,XXXXXXXXX,Consumer,NY,3320 Bright Barn Carrefour,12180,2,Fitness,42.730049133300781,-73.689529,USCA,New York City,Estados Unidos,6662,2016-05-31 13:17:00.0000000,35387,134,5.5,5.9999998658895493E-2,88386,25,0.28999999165534973,4,100,94.5,27.409999847412109,East of USA,Nueva York,PROCESSING,10035,134,7,,http://images.acmesports.sports/Nike+Women%27s+Legend+V-Neck+T-Shirt,Nike Women's Legend V-Neck T-Shirt,25,0,2016-06-03 13:17:00.0000000,Standard Class
DEBIT,3,4,7.8600001335144043,23.25,Advance shipping,0,7,Hockey,Caguas,Puerto Rico,Gregory,6871,Bowman,XXXXXXXXX,Home Office,PR,4114 Lost Blossom Farms,725,2,Fitness,18.261577606201172,-66.370514,USCA,Milwaukee,Estados Unidos,6871,2016-04-27 21:44:00.0000000,33082,134,1.75,7.0000000298023224E-2,82705,25,0.34000000357627869,1,25,23.25,7.8600001335144043,US Center ,Wisconsin,COMPLETE,53209,134,7,,http://images.acmesports.sports/Nike+Women%27s+Legend+V-Neck+T-Shirt,Nike Women's Legend V-Neck T-Shirt,25,0,2016-04-30 21:44:00.0000000,Standard Class
DEBIT,6,4,139.58000183105469,296.97000122070313,Late delivery,1,9,Cardio Equipment,Goose Creek,EE. UU.,Deborah,5059,Smith,XXXXXXXXX,Corporate,SC,8976 Wishing Quail Ramp,29445,3,Footwear,32.979701995849609,-80.035797,Europe,Oyonnax,Francia,5059,2017-08-25 05:28:00.0000000,66260,191,3,9.9999997764825821E-3,165637,99.989997863769531,0.4699999988079071,3,299.97000122070313,296.97000122070313,139.58000183105469,Western Europe,Auvernia-Ródano-Alpes,COMPLETE,,191,9,,http://images.acmesports.sports/Nike+Men%27s+Free+5.0%2B+Running+Shoe,Nike Men's Free 5.0+ Running Shoe,99.989997863769531,0,2017-08-31 05:28:00.0000000,Standard Class
DEBIT,2,4,89.989997863769531,179.97000122070313,Advance shipping,0,17,Cleats,Lancaster,EE. UU.,Frances,9610,Smith,XXXXXXXXX,Corporate,CA,7596 Bright Pike,93536,4,Apparel,34.818229675292969,-118.55271,Pacific Asia,Newcastle,Australia,9610,2015-11-02 02:12:00.0000000,20901,365,0,0,52216,59.990001678466797,0.5,3,179.97000122070313,179.97000122070313,89.989997863769531,Oceania,Nueva Gales del Sur,COMPLETE,,365,17,,http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck,Perfect Fitness Perfect Rip Deck,59.990001678466797,0,2015-11-04 02:12:00.0000000,Standard Class
DEBIT,4,4,-36.419998168945313,170.97000122070313,Shipping on time,0,17,Cleats,Santa Ana,EE. UU.,Peter,4119,Smith,XXXXXXXXX,Corporate,CA,4617 Indian Abbey,92704,4,Apparel,33.702888488769531,-117.9042,Pacific Asia,Daca,Bangladés,4119,2015-12-25 02:39:00.0000000,24533,365,9,0.05000000074505806,61412,59.990001678466797,-0.20999999344348907,3,179.97000122070313,170.97000122070313,-36.419998168945313,South Asia,Daca,COMPLETE,,365,17,,http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck,Perfect Fitness Perfect Rip Deck,59.990001678466797,0,2015-12-29 02:39:00.0000000,Standard Class
CASH,5,2,5.7399997711181641,21.25,Late delivery,1,26,Girls' Apparel,Woodside,EE. UU.,Kenneth,8652,Newman,XXXXXXXXX,Corporate,NY,1497 Sleepy Thicket,11377,5,Golf,40.673557281494141,-73.609627,LATAM,Chimaltenango,Guatemala,8652,2015-04-25 08:14:00.0000000,7834,567,3.75,0.15000000596046448,19585,25,0.27000001072883606,1,25,21.25,5.7399997711181641,Central America,Chimaltenango,CLOSED,,567,26,,http://images.acmesports.sports/adidas+Men%27s+Germany+Black+Crest+Away+Tee,adidas Men's Germany Black Crest Away Tee,25,0,2015-04-30 08:14:00.0000000,Second Class
CASH,6,2,33.439998626708984,379.98001098632813,Late delivery,1,45,Fishing,Detroit,EE. UU.,Mary,296,Mullen,XXXXXXXXX,Corporate,MI,7370 Sleepy Way,48213,7,Fan Shop,42.320545196533203,-83.088234,LATAM,Tlalnepantla,México,296,2015-03-31 16:31:00.0000000,6145,1004,20,0.05000000074505806,15374,399.98001098632813,9.0000003576278687E-2,1,399.98001098632813,379.98001098632813,33.439998626708984,Central America,México,CLOSED,,1004,45,,http://images.acmesports.sports/Field+%26+Stream+Sportsman+16+Gun+Fire+Safe,Field & Stream Sportsman 16 Gun Fire Safe,399.98001098632813,0,2015-04-06 16:31:00.0000000,Second Class
CASH,5,2,90.199996948242188,327.98001098632813,Late delivery,1,45,Fishing,Fond Du Lac,EE. UU.,Mary,11012,Smith,XXXXXXXXX,Corporate,WI,3193 Crystal Centre,54935,7,Fan Shop,43.979698181152344,-88.530617,Pacific Asia,Chittagong,Bangladés,11012,2016-01-06 23:18:00.0000000,25414,1004,72,0.18000000715255737,63658,399.98001098632813,0.2800000011920929,1,399.98001098632813,327.98001098632813,90.199996948242188,South Asia,Chittagong,CLOSED,,1004,45,,http://images.acmesports.sports/Field+%26+Stream+Sportsman+16+Gun+Fire+Safe,Field & Stream Sportsman 16 Gun Fire Safe,399.98001098632813,0,2016-01-11 23:18:00.0000000,Second Class
CASH,4,2,26.969999313354492,82.989997863769531,Late delivery,1,9,Cardio Equipment,La Mesa,EE. UU.,Mary,9490,Glass,XXXXXXXXX,Corporate,CA,8804 Cinder Dale Carrefour,91941,3,Footwear,32.770828247070313,-117.00808,USCA,New York City,Estados Unidos,9490,2016-08-18 02:29:00.0000000,40768,191,17,0.17000000178813934,101735,99.989997863769531,0.33000001311302185,1,99.989997863769531,82.989997863769531,26.969999313354492,East of USA,Nueva York,CLOSED,10024,191,9,,http://images.acmesports.sports/Nike+Men%27s+Free+5.0%2B+Running+Shoe,Nike Men's Free 5.0+ Running Shoe,99.989997863769531,0,2016-08-22 02:29:00.0000000,Second Class
